user_id,map_id,score,match_id
12694894,3325116,994911,102466607
11603156,3325116,987720,102466607
12694894,2415750,977120,102466607
11603156,2415750,977391,102466607
12694894,3422102,993664,102466607
11603156,3422102,979808,102466607
12694894,3213608,919661,102466607
11603156,3213608,928852,102466607
12694894,2888756,979553,102466607
11603156,2888756,985058,102466607
12694894,3143239,941812,102466607
11603156,3143239,956970,102466607
12694894,3000972,957300,102466607
11603156,3000972,953527,102466607
12694894,3245283,975096,102466607
11603156,3245283,966639,102466607
12694894,2702686,961913,102466607
11603156,2702686,944962,102466607
12694894,3477685,940388,102466607
11603156,3477685,952721,102466607
12694894,3574256,949357,102466607
11603156,3574256,947198,102466607
8611484,3448235,996021,102467659
24449770,3448235,993316,102467659
8611484,3325116,994852,102467659
24449770,3325116,989603,102467659
8611484,2877105,986964,102467659
24449770,2877105,976493,102467659
8611484,2888756,993898,102467659
24449770,2888756,981224,102467659
8611484,3000972,968516,102467659
24449770,3000972,802224,102467659
8611484,3422102,993463,102467659
24449770,3422102,984933,102467659
15389275,3448235,988592,102467716
10449022,3448235,977267,102467716
15389275,2269384,982840,102467716
10449022,2269384,917862,102467716
15389275,2415750,957044,102467716
10449022,2415750,757796,102467716
15389275,2877105,987415,102467716
10449022,2877105,904328,102467716
15389275,3422102,986200,102467716
10449022,3422102,977706,102467716
15389275,3245283,971636,102467716
10449022,3245283,928508,102467716
15389275,3574256,963324,102467716
10449022,3574256,907423,102467716
9502281,3000972,980859,102468766
8781662,3000972,877656,102468766
9502281,2269384,972490,102468766
8781662,2269384,958233,102468766
9502281,2888756,985510,102468766
8781662,2888756,936228,102468766
9502281,2702686,983839,102468766
8781662,2702686,977344,102468766
9502281,3325116,962096,102468766
8781662,3325116,968122,102468766
9502281,3245283,988235,102468766
8781662,3245283,957901,102468766
9502281,3422102,985201,102468766
8781662,3422102,967405,102468766
10443855,3448235,941221,102468763
6532520,3448235,985659,102468763
10443855,3325116,990263,102468763
6532520,3325116,991126,102468763
10443855,2415750,979905,102468763
6532520,2415750,970520,102468763
10443855,3477685,978830,102468763
6532520,3477685,948207,102468763
10443855,3000972,959542,102468763
6532520,3000972,955457,102468763
10443855,3245283,982000,102468763
6532520,3245283,977811,102468763
10443855,3143239,977656,102468763
6532520,3143239,976927,102468763
10443855,2269384,989340,102468763
6532520,2269384,927981,102468763
7304075,3422102,995803,102470373
7928981,3422102,995329,102470373
7304075,2269384,985399,102470373
7928981,2269384,981360,102470373
7304075,2415750,989807,102470373
7928981,2415750,992636,102470373
7304075,2702686,982375,102470373
7928981,2702686,979197,102470373
7304075,3143239,977762,102470373
7928981,3143239,974473,102470373
7304075,3477685,989107,102470373
7928981,3477685,983340,102470373
10497659,2415750,986787,102489720
14665128,2415750,890699,102489720
10497659,2269384,968982,102489720
14665128,2269384,954098,102489720
10497659,2877105,980081,102489720
14665128,2877105,964607,102489720
10497659,3477685,956621,102489720
14665128,3477685,956157,102489720
10497659,3245283,949554,102489720
14665128,3245283,949026,102489720
10497659,2702686,942605,102489720
14665128,2702686,970714,102489720
11313227,2888756,997833,102491447
8586018,2888756,987950,102491447
11313227,3477685,991028,102491447
8586018,3477685,983548,102491447
11313227,3325116,998888,102491447
8586018,3325116,992547,102491447
11313227,2269384,990393,102491447
8586018,2269384,978423,102491447
11313227,3000972,976118,102491447
8586018,3000972,961278,102491447
11313227,2877105,993918,102491447
8586018,2877105,979710,102491447
4928674,2702686,944408,102492335
11259611,2702686,969156,102492335
4928674,2269384,950608,102492335
11259611,2269384,974904,102492335
4928674,3422102,982547,102492335
11259611,3422102,972704,102492335
4928674,3477685,949441,102492335
11259611,3477685,956754,102492335
4928674,2888756,962452,102492335
11259611,2888756,964433,102492335
4928674,2877105,967773,102492335
11259611,2877105,950809,102492335
4928674,2415750,946897,102492335
11259611,2415750,973219,102492335
14318312,2415750,996438,102493286
10333739,2415750,992211,102493286
14318312,2269384,985637,102493286
10333739,2269384,992532,102493286
14318312,3422102,997059,102493286
10333739,3422102,996356,102493286
14318312,2877105,990270,102493286
10333739,2877105,991924,102493286
14318312,3000972,992796,102493286
10333739,3000972,989623,102493286
14318312,3477685,989796,102493286
10333739,3477685,990287,102493286
14318312,3325116,998666,102493286
10333739,3325116,997481,102493286
14318312,2702686,987855,102493286
10333739,2702686,991807,102493286
14318312,3448235,994937,102493286
10333739,3448235,996268,102493286
17457562,2269384,973510,102495091
26496648,2269384,944249,102495091
17457562,3422102,986146,102495091
26496648,3422102,978940,102495091
17457562,3448235,991080,102495091
26496648,3448235,923873,102495091
17457562,2888756,978092,102495091
26496648,2888756,978402,102495091
17457562,2877105,976274,102495091
