Player ID,Player Name,pScore,Maps Played
11784492,Mich_,0.5358753312927538,5/7
7220725,Zekronz,0.51743403271249,4/7
17478713,niflox,0.5160369995558898,1/5
13579078,Joylintp,0.5022213814535509,1/6
4307102,Shakti,0.46439613531088414,6/5
7852449,myja,0.45862411692844574,1/7
15189878,[Jrc]tommy125,0.45175693373379594,2/6
5183940,2fast,0.44762067403702915,3/7
7676585,[RS] F4st,0.4466850117818051,5/7
12459700,MrExpandion,0.4028831741028024,1/10
1963937,Worms,0.3935842534338865,2/5
2653437,robby250,0.3703536820030018,2/7
12296460,MAR1SA,0.2687478529199912,2/6
9140927,AwakeHoppps,0.24131681672144298,2/5
15317574,MyAngelRobetta,0.2358981374482737,2/6
11328112,jrny,0.17811590547314848,3/5
