user_id,map_id,score,match_id
15665805,4734244,994356,115131174
2071008,4734244,990918,115131174
15665805,4735025,996392,115131174
2071008,4735025,989623,115131174
15665805,4734487,993826,115131174
2071008,4734487,986677,115131174
14892447,3724198,964053,115131174
3760209,3724198,965907,115131174
15665805,4734233,995560,115131174
2071008,4734233,980552,115131174
15665805,4101374,993599,115131174
2071008,4101374,992274,115131174
14892447,4734291,967391,115131174
3760209,4734291,931640,115131174
15665805,4734401,984785,115131174
3760209,4734401,906023,115131174
2071008,4734401,985612,115131174
14892447,4734401,947837,115131174
