user_id,Player Name,median_pScore,total_maps_played,num_appearances,adjusted_median_pScore
15665805,konkawe,1.395534927753977,395,46,1.395534927738109
11734610,Nepijin,1.363405906922695,453,56,1.3634059069226565
17308009,Hello_Son,1.350132632272827,178,31,1.350132507877007
8534840,DawnX,1.329909428005395,205,24,1.3299012568096642
10072733,myucchii,1.3143070340225453,495,62,1.3143070340225445
29379793,klobuck,1.2595265093696235,134,18,1.2592433466877637
9188975,mae0149,1.2694150391405028,91,12,1.2590533485606272
13385865,Reyi,1.2576685405858021,443,49,1.2576685405834382
12046267,--Pavin--,1.2481744379514743,681,78,1.2481744379514743
23248427,-Veloce-,1.2400152601519008,285,35,1.2400152497873695
17152485,dendro_,1.2385977422547194,112,16,1.2376737126254724
27552902,[GB]ParasolTree,1.2347486187247385,340,33,1.2347485844594372
18236316,Sawdust Inhaler,1.3282734141974721,65,8,1.2177973326574798
17115114,koshepen,1.2173998815464828,201,26,1.2173976286289734
36570108,FoaMelt1,1.2080588053345782,143,17,1.207564024114541
11585213,Dystire,1.2054798655872538,173,24,1.2054724589084802
20360332,bambi fnf,1.2053725269118445,123,18,1.205101538953416
25445118,zKuri,1.2330163921566906,87,10,1.2002218630943287
19862784,Chicken Sammy,1.211806192018825,67,11,1.1939029289318344
36120676,WOEM2436,1.192824512052663,121,16,1.1919346305729646
10344857,Naaaad,1.1915579336718773,441,49,1.1915579336696376
8581031,Poca,1.1792590601057968,250,40,1.1792590596150603
17244618,moths,1.1587746548370907,102,17,1.1583000587868515
12489832,spanner dude,1.1554744142377924,337,48,1.1554744142338351
15926730,PeachMarrow,1.154171075207086,225,40,1.1541710747267895
21207265,oyama mahiro,1.1522704022916612,146,19,1.152128218373949
17668607,[BBC]Senzawa,1.1481797181212121,126,16,1.1473231429450672
16100800,ICECAKE,1.1438062261416615,135,23,1.1437934208197558
18867523,flowerful,1.1296023175935577,179,27,1.1296011703350595
18121419,lyvet,1.1266774801066297,283,37,1.1266774772702206
27762510,-Vixteria-,1.2268115681728073,52,8,1.1247743419579375
16191405,jackyjacky607,1.1384632952069071,81,11,1.121643602401892
15763622,Koishi Komeijie,1.1236680996480337,95,14,1.1208896918844724
16277321,nyasun,1.113707871038926,201,22,1.1136851524148605
18043326,Joki_,1.1129441226462538,140,20,1.1128687494519733
18338179,bagjettka,1.1115486819076221,178,32,1.1115486257018174
28098890,parponger,1.1094040126741578,417,44,1.1094040126322762
18342820,Ancuw,1.111856445104427,109,14,1.1091072431114084
10303887,oct4,1.1172183045740933,72,12,1.1080989306693947
16407268,_dev_,1.106705438958008,135,31,1.1067053369905957
13769101,Netroo,1.1042186494250832,141,20,1.1041438671560568
11649450,ime,1.1029621222273729,218,31,1.102962020604855
20834055,_yea,1.102105995968306,121,20,1.1020313567769382
31743951,Jacky_Lover,1.2829096373509088,74,7,1.1009275391215838
11313227,Quotient,1.100668196136847,437,53,1.1006681961366593
15183087,LiangFenFan,1.0927938952988911,172,20,1.0927198867616226
21906254,abriI,1.1399644978683652,69,9,1.0859006861655316
25588443,Banned or Unavailable,1.0858393165584845,151,23,1.085827160196971
14066511,nyasunfanboy,1.0848538000130898,173,19,1.08471993493843
13631923,Banned or Unavailable,1.0845220797200101,119,15,1.0830487348380298
10083439,bojii,1.0813248561232613,131,18,1.0810817561615347
14931745,[LS]Icetify,1.0699972957700685,144,22,1.0699754688018428
17494164,ggeexx1,1.0680502656410504,310,42,1.0680502655071822
2071008,yz1155,1.0645639000897595,171,22,1.0645421839578466
24776314,Plana_,1.0617395365244895,248,34,1.0617395203542181
15098503,-Lalito898,1.0608085994858736,173,24,1.060802081692619
18271627,grillroasted,1.0568096911039746,374,41,1.056809690862618
29929002,[MY] VASD,1.0569886849554422,100,17,1.0565557770963225
14892447,JayLye,1.0565413825542325,495,69,1.0565413825542325
24446642,Aepq,1.0723590279940922,73,11,1.05651596172794
32358269,verysour,1.082927233723852,100,10,1.0541246250442855
26473894,imyeeyee,1.0527287317549394,115,16,1.051943365766842
15179858,Tonels,1.0412834523846797,253,29,1.0412831338537527
33801604,Fuyuneel,1.0413361884368753,119,17,1.0409096913263798
9423922,Velyria,1.0435533435839703,78,13,1.0388612426932033
26233321,[LS]Vixile,1.0382765002298693,370,47,1.03827650022339
8880797,Naito Mare,1.035549218467062,198,38,1.0355492170363134
9169747,Nathanial,1.0355324351175632,192,26,1.035530518763545
19141228,malza,1.033499551256503,124,16,1.0327285307915084
18018708,McButt,1.034974962125295,73,12,1.0265269053552084
16233256,EteChmess,1.076588178722076,39,9,1.0255300442935353
21072569,AomDCO,1.0239229780461327,141,24,1.0239166868845764
24548857,Anterex,1.3315242826740898,38,6,1.0233094110657894
18508394,Tevelkin,1.022299446479338,102,13,1.017702908915688
19133938,Eeriee,1.0177148807069356,146,20,1.0176459568320846
11563203,osu_degenstage5,1.045403451046007,78,10,1.017598862173303
10055204,Zoobin4,1.01602329318739,254,44,1.0160232931490338
27540621,angela202133,1.0156543971847973,134,16,1.0148966897192844
3262821,[SPNG] Sim0,1.022723988618801,53,12,1.0143759312916567
14009758,TriDoanGaming,1.011372029521977,331,42,1.0113720293952129
32954144,Nyagato Yuki,1.0124480964534783,116,15,1.0110726655156725
13471840,Kureha_,1.0098227581561612,157,20,1.0097543687685986
16468962,ERA Sunny,1.0090983503677704,155,24,1.009092150291315
11898245,Newbie Noobko,1.0082998363007896,211,29,1.008299527859624
18309106,rezored,1.008059798363491,290,43,1.008059798294149
15513303,Znow,1.0080425935324167,237,32,1.0080425425604296
13347579,LeMarcinho,1.0077100041593041,282,42,1.007710004032999
22725724,magnifestio,1.0039206228641673,131,22,1.0039001437997594
34344384,Nikorofanboy,1.007841495739711,98,13,1.0033099650719337
20051971,vegetagamerbr34,1.0026273073890997,154,30,1.0026271390652952
31146692,Na2303,1.0024510925797294,165,19,1.0023273955522136
28571440,[Crz]yomogi237,1.0019178383934007,137,21,1.0018805981722831
17753122,invadey,1.0276217876567157,66,10,1.0002901375709625
29165753,shadiaojunshi,1.0903235876885051,65,8,0.9996384348495245
30243406,unluminated520,0.9992767554910095,112,13,0.9947837342349429
23392961,Darkhechiser,0.9947524053277917,201,27,0.9947513950269692
21292740,Just P,0.9916429573627306,137,21,0.9916060990480198
11817815,[Crz]Envy,0.9932225322670043,74,13,0.9887567324523302
16296036,IWateh,1.0755025428316285,39,8,0.9860500962582518
20496815,4Kenn,0.9857167431815883,122,22,0.9856966354597109
13390529,-Aishiteru-,0.9842165548227523,211,29,0.9842162537487164
14196373,Verdon,0.985197340515358,119,15,0.9838589302731584
10236326,YeonHong187,1.029657908416341,44,9,0.9808254830355092
27233308,CuteNatro,0.9814905612533289,95,15,0.9801571867447086
13026904,tyrcs,0.9795121359398512,214,28,0.9795115899695244
24058560,Neon-Hooray,0.9806625443415418,109,14,0.9782377354255586
6912079,Iseri,0.9764250492132621,149,23,0.9764141177838065
21591349,Big noob lol,0.9787428846826643,91,13,0.9743421893188036
13878539,ERA Veryi,0.973916878004771,151,29,0.9739165800814291
14213841,[Crz]Xinyi2016,0.9730161755464811,179,19,0.9728961106280717
25311011,Stereotype,0.9680060690215919,215,35,0.9680060609306196
15806513,jkzu123,0.9663929016130398,152,21,0.966356981816063
23528661,henryalexbr,0.9662616782630721,110,17,0.9658659292068712
26702763,riftoyu,0.9635222720851689,172,23,0.9635114851069418
18521083,[Crz]Neri,1.0441951858721494,84,8,0.9573466565971903
26140861,Scitra,0.9571926319073988,310,37,0.9571926294976676
10764424,Mantozi,0.9559292802904892,156,15,0.9546306312920154
10702235,[Crz]Caicium,0.9518449305490595,131,17,0.9514550861193481
25914360,MiniEgg_23,0.9459824366034482,291,45,0.945982436583849
16191180,Shice2566,0.943693885177644,164,27,0.9436929267334087
32151196,[LS]Astal,0.9425575739719674,169,26,0.9425558296770201
14952077,yeonho7028,1.0265385945975602,57,8,0.9411586116297997
16505281,Buschan,0.9407609905736267,196,31,0.9407609038956721
18566390,Nubbo123,1.0204337569566233,41,8,0.9355615297971172
14551764,[LS]Mitter,0.9587287075278186,87,10,0.9332294062517442
10027302,Cyaewin,0.9315841390710693,95,16,0.9308891504421773
16055641,Rxizuna,0.9281655006858669,432,55,0.9281655006858193
21102581,Namia,0.9527422768765006,71,10,0.9274021966580076
5390121,Piggy,0.9249725541325169,137,20,0.9249099111528668
13349388,Achino,0.9189108819559499,237,36,0.9189108777407388
13047982,Chara Undertale,0.9188094209293279,84,17,0.9184331067596354
13921965,DarkMew2,0.9182361181999122,224,35,0.9182361105249366
6336721,[Paw]FIood,0.9197612759955124,107,13,0.9156257780557808
3760209,Tosai_,0.9127437621144786,210,37,0.9127437598166475
25159471,senkhyu,0.9120190492185506,169,21,0.9119851504398735
17699745,_Kiruru,0.9114275434818878,160,28,0.9114270354612359
9530019,Lothus,0.9108966634205515,173,28,0.910896155695807
903155,Transcendence,0.9116165931825282,130,15,0.9103781438535477
15267478,maykolmejor,0.9096402147829131,93,14,0.9073910173236348
12452131,gaesol,0.9071234032321966,352,41,0.9071234030250256
18560307,Silicosis 2,0.9052291722230772,164,32,0.9052291264498826
11799103,yoppy-yugen,0.9067731541407309,74,14,0.9045310458419878
21446926,Fier,0.9018716132815059,113,16,0.9011987910535791
19664675,dumbidot,0.9460221483060505,71,9,0.9011562218773186
18111392,minatoaquafan69,0.8991656470649757,124,26,0.8991639830710317
26253851,Aigisfangirl,1.1695673082497695,39,6,0.8988414623601828
15772814,Unitori-,0.8981623895272015,247,40,0.8981623891534404
13226626,gxrl,0.9046073023089032,87,12,0.8972233808381388
14318312,[Crz]Reimu,0.8970635628363329,165,22,0.897045263558419
12689667,[Albert],0.8963830759883854,178,24,0.8963775684542561
12599154,Toxic Scent,0.8954344857125716,144,21,0.8954012033644924
12942073,Miyes,0.8958160082441198,142,16,0.8951477036721572
32379983,Idontknowwhathi,0.8953113945746269,87,18,0.8951101135585455
13821222,Lott,0.8942749536978876,234,30,0.8942748035645716
15513319,happergamer,0.8938671680202059,137,20,0.8938066316263789
21900872,[LS]Robi,0.8971184915538928,80,13,0.893084801758135
26117532,madelief013,0.9736317468312508,42,8,0.8926521690552077
25750653,WandrYondr,0.9142395887311908,73,10,0.8899235642619908
31185655,SaltFalt,0.9698106741804489,56,8,0.8891489053202721
25345980,Maxtulini,1.0344785349929908,65,7,0.8877366531875386
15508957,yeetboii,1.0340637337768144,50,7,0.8873806919655989
30122510,-fm777-,0.8908140204969689,110,13,0.8868086773252183
11517895,LivelyPeninsula,0.8856301444847962,478,82,0.8856301444847962
2288363,SillyFangirl,0.8833551578693362,306,38,0.8833551566488639
27455673,ZefliN,0.887114899341861,88,13,0.8831261884292793
20372838,[Szy]polymaridd,0.8902497337474402,83,12,0.8829830069516451
25300387,-hakitsu,1.0278794388929422,37,7,0.8820736458966626
10745260,jhleetgirl,0.8820002216171327,283,35,0.8820002142450307
26634482,lisachandra,0.9043416310977079,56,10,0.8802888625441098
28639641,[GB]mmttyy233,0.8794404010916916,184,22,0.8794224613101923
18943504,fefedk,1.0247774599004413,18,7,0.8794116859275469
11467559,robrt,0.8779139286666364,96,18,0.8777165588926508
11700865,Lemmie,1.1414373723313278,35,6,0.8772229094486211
25308131,RTrigger,1.0216106013964514,50,7,0.8766940496747371
16663490,Suzuran__,0.8784488634944309,83,13,0.8744991174462416
25604245,ERA Nanachi,1.1346569689976969,34,6,0.8720120014446064
4477497,cheewee10,0.8704668883476798,133,22,0.8704491316176501
4084853,xxxxxx2800,0.8697557470895497,221,29,0.8697554810293298
16487992,ssiizz_,0.8759535411970061,78,12,0.8688035080901232
