,,,,2559636,Se-U-Ra - LOSHAXI (Elekton) [alonewithi [1.3x Rate]]
,,,,2559637,Se-U-Ra - LOSHAXI (Elekton) [alonewithi]
,,,,2577387,Giga - BRING IT ON feat. Kagamine Rin & Len (DannyPX) [GIVE IT ALL]
,,,,2588388,Camellia - Nacreous Snowmelt (-mint-) [Pearlescence]
,,,,2595609,YZYX - Dysnomia (Chrubble) [Aphasia 1.15x]
,,,,2595611,YZYX - Dysnomia (Chrubble) [Aphasia]
,,,,2603455,Nanahoshi Kangengakudan feat. Matsushita - Dance Number o Tomo ni (juankristal) [T1M1N6 H311]
,,,,2627287,The Ghost of 3.13 - Forgotten (Shoegazer) [Extra (350bpm)]
,,,,2700256,Fleshgod Apocalypse - The Fool (Mipha-) [Tyrant]
,,,,2701200,Jeff Williams feat. Casey Lee Williams - Time to Say Goodbye (Halogen-) [Farewell 1.2x (300bpm)]
,,,,2705948,"Camellia - Xeroa (""preconnaiXance"" Long ver.) (Abraxos) [precogniXance]"
,,,,2711344,ETIA. - Daisycutter (lemonguy) [Firestorm]
,,,,2714120,Terminal 11 - Staple On Smile (hi19hi19) [Extreme 1.05x]
,,,,2736352,Unlike Pluto - Painted Dreams (Amerom) [Stage 3: Tear]
,,,,2755853,KURORAK - Gamma Stop Sending Me Ratchet and Clank Videos to Sample (Mipha-) [lemonguy's Challenge]
,,,,2767506,Terminal 11 - Staple On Smile (hi19hi19) [Extreme 1.2x]
,,,,2767507,Terminal 11 - Staple On Smile (hi19hi19) [Extreme]
,,,,2771696,katagiri - Angel's Salad ('Le mythe etendu' ver.) (Penguinosity) [indifference 1.05]
,,,,2867552,Camellia - M1LLI0N PP (DannyPX) [12 MAN C011A8]
,,,,2875456,katagiri - Angel's Salad ('Le mythe etendu' ver.) (Penguinosity) [indifference 1.2]
,,,,2875457,katagiri - Angel's Salad ('Le mythe etendu' ver.) (Penguinosity) [indifference]
,,,,2917733,Laur - Sound Chimera (Toaph Daddy) [Polymerization]
,,,,2926741,"Camellia feat. Kagekiha Gakusei - Lowermost revolt (""Jeremiad"" Long ver.) (FelixSpade) [4K // Rebellion]"
,,,,2946072,"Kairiki bear feat. GUMI, Kagamine Rin - Inai Inai Izonshou (juankristal) [timing hell]"
,,,,2975881,Venetian Snares - Epidermis (Shoegazer) [Tribalism 1.4x]
,,,,2975882,Venetian Snares - Epidermis (Shoegazer) [Tribalism]
,,,,2982246,"Apo11o""QUASAR""program feat. Endou Shun - saihate (Tidek) [Coma [1,15x Rate]]"
,,,,2984819,96-glass - Shiawase ni Nareru Kakushi Amenbreak ga Arurashii (hna) [Commando 1.1x (312bpm)]
,,,,2984821,96-glass - Shiawase ni Nareru Kakushi Amenbreak ga Arurashii (hna) [Commando 1.3x (369bpm)]
,,,,2984822,96-glass - Shiawase ni Nareru Kakushi Amenbreak ga Arurashii (hna) [Commando]
,,,,3034670,"Apo11o""QUASAR""program feat. Endou Shun - saihate (Tidek) [Coma]"
,,,,3042160,Haruko Momoi - Eiyuu no Uta (Valedict) [STORM OF BLOOD 1.05x]
,,,,3068709,cosMo@BousouP - Deux Saint-Co Odyssey!! (lemonguy) [EXCEED]
,,,,3083481,Camellia - OOPARTS (-mint-) [Antikythera]
,,,,3114831,Haruko Momoi - Eiyuu no Uta (Valedict) [STORM OF BLOOD 1.1x]
,,,,3114832,Haruko Momoi - Eiyuu no Uta (Valedict) [STORM OF BLOOD]
,,,,3117231,ETIA. - Daisycutter (lemonguy) [Firestorm x1.4]
,,,,3123871,DJ Sharpnel - FUTURE DOMINATORS (IcyWorld) [NB5 Hard 54235 1.3x]
,,,,3135909,Frums - one of none (aeoliancarp) [observer 1.3x (156bpm)]
,,,,3162103,"96neko - E? Aa, sou. (juankristal) [PaiLNfull]"
,,,,3183462,Frums - Q.E. (Pizza69) [Insane 1.4x (234bpm)]
,,,,3183463,Frums - Q.E. (Pizza69) [Insane]
,,,,3188294,Frums - VIS::CRACKED ([Crz]Crysarlene) [Mipha vs. Crys's Oblivion]
,,,,3205077,SUPER MWC KART - Purple Palace (-mint-) [Rainbow Road Revolution]
