user_id,elo,username,country
8534840,420.6961925649866,DawnX,CN
10072733,416.27688790053486,myucchii,CL
13601876,416.1614874134313,Orost,BR
12452131,411.9835888353326,gaesol,KR
12046267,411.6708851929452,--Pavin--,TH
13390529,409.3723139609341,-Aishiteru-,SG
13385865,408.87421060448287,Reyi,ID
18943504,405.4473497695512,fefedk,BR
33801604,405.39657707373567,Fuyuneel,JP
11585213,405.02311103297535,Dystire,RU
8581031,404.4628595659885,Poca,KR
11313227,404.1108051617129,Quotient,HK
18121419,401.80358207193456,lyvet,PH
4084853,401.5066128417392,xxxxxx2800,MY
10083439,401.1054077897256,bojii,PH
17668607,399.4858069839972,[BBC]Senzawa,MX
10329095,398.75450725746737,VanillaLatte,KR
12689667,398.1581433532389,[Albert],ID
9530019,397.2581456398514,Lothus,BR
29929002,397.03070289251457,[MY] VASD,MY
10790649,397.010192513486,Kalkai,KR
36570108,395.3176706677888,FoaMelt1,CN
13347579,393.244123351253,LeMarcinho,BR
12489832,392.9451848735449,spanner dude,GB
2288363,392.3987008905935,SillyFangirl,BR
10242062,392.1018356527105,AFOTHER,JP
21906254,391.5073100000629,abriI,ES
11488604,391.3933393401585,CrewK,JP
16407268,391.2200774851528,_dev_,US
21446926,390.937962681397,Fier,ID
17258072,388.9391733430695,Antipole,ID
14009758,388.9050183075474,TriDoanGaming,VN
11649450,388.86730511316864,ime,ES
36120676,388.8656919616647,WOEM2436,CN
6699923,388.4481538355302,Sunyata,KR
6824332,388.14517260976,Squartatrice,KR
10745260,386.9694127460834,jhleetgirl,JP
20435157,386.8094052028889,theman234 tonk,CA
11188249,386.7251412036108,Plutes,MX
10483296,386.1741239141895,Papago,KR
10413362,386.0926164410685,Kakuko,CN
17152485,385.24210435262745,dendro_,PE
17308009,385.1088126305476,Hello_Son,US
10333739,384.7575070905736,[Crz]sunnyxxy,CN
20496815,384.5321854625513,4Kenn,PH
27655372,383.3658546400218,kapupa,RU
32579046,383.0468813861615,ashurn,CN
1020304,382.74798650331087,NKZoyDkKalBoJun,KR
19444599,382.0749498330425,Artloldxe,BR
11304785,381.0234966568229,jordan180105,AU
18309106,380.8186431540106,rezored,ID
24776314,380.6906324384923,Plana_,PH
18521083,380.5422305295647,[Crz]Neri,CN
13465246,380.2966265230087,TheSnowie,US
15665805,378.99106242122286,konkawe,TH
