player_id,elo_score,rank_4k,final_rank,country,username,final_rank_percentile
10072733,416.27688790053486,3,1.0,CL,myucchii,1.0
8534840,420.6961925649866,17,2.0,CN,DawnX,0.9998852947923835
11585213,405.02311103297535,15,3.0,RU,Dystire,0.9997705895847672
10083439,401.1054077897256,5,4.0,PH,bojii,0.9996558843771507
13385865,408.87421060448287,41,5.0,ID,Reyi,0.9995411791695343
12046267,411.6708851929452,51,6.0,TH,--Pavin--,0.9994264739619179
13601876,416.1614874134313,65,7.0,BR,Orost,0.9993117687543015
12452131,411.9835888353326,57,8.0,KR,gaesol,0.999197063546685
33801604,405.39657707373567,42,9.0,JP,Fuyuneel,0.9990823583390686
18121419,401.80358207193456,34,10.0,PH,lyvet,0.9989676531314522
11313227,404.1108051617129,59,11.0,HK,Quotient,0.9988529479238357
21906254,391.5073100000629,30,12.0,ES,abriI,0.9987382427162194
36120676,388.8656919616647,33,13.0,CN,WOEM2436,0.9986235375086029
14009758,388.9050183075474,36,14.0,VN,TriDoanGaming,0.9985088323009864
12489832,392.9451848735449,56,15.0,GB,spanner dude,0.99839412709337
13471840,378.1494052197335,11,16.0,HK,Kureha_,0.9982794218857536
29929002,397.03070289251457,71,17.0,MY,[MY] VASD,0.9981647166781372
18943504,405.4473497695512,98,18.0,BR,fefedk,0.9980500114705207
26473894,375.8655249295427,8,19.0,KR,imyeeyee,0.9979353062629044
17152485,385.24210435262745,44,20.0,PE,dendro_,0.9978206010552879
18309106,380.8186431540106,31,21.0,ID,rezored,0.9977058958476714
10745260,386.9694127460834,65,22.0,JP,jhleetgirl,0.9975911906400551
23248427,377.1274811968131,39,23.0,TW,-Veloce-,0.9974764854324386
21446926,390.937962681397,87,24.0,ID,Fier,0.9973617802248222
10817494,374.872980600638,40,25.0,CN,[Crz]Nickname,0.9972470750172058
10344857,364.7722550767791,13,26.0,KR,Naaaad,0.9971323698095893
17258072,388.9391733430695,89,27.0,ID,Antipole,0.9970176646019729
32379983,364.30215517925456,14,28.0,CN,Idontknowwhathi,0.9969029593943565
27655372,383.3658546400218,74,29.0,RU,kapupa,0.9967882541867401
17308009,385.1088126305476,85,30.0,US,Hello_Son,0.9966735489791236
13390529,409.3723139609341,162,31.0,SG,-Aishiteru-,0.9965588437715073
8581031,404.4628595659885,149,32.0,KR,Poca,0.9964441385638908
32579046,383.0468813861615,90,33.0,CN,ashurn,0.9963294333562743
24026784,366.91412853084864,48,34.0,TH,achii77,0.996214728148658
11817838,378.6496485214661,85,35.0,US,Brisket Bacon,0.9961000229410415
22674434,374.0532195709405,71,36.0,US,noober,0.9959853177334251
18867523,359.63338808208846,27,37.0,FR,flowerful,0.9958706125258087
24446642,377.3090151751863,82,38.0,MY,Aepq,0.9957559073181922
11649450,388.86730511316864,120,39.0,ES,ime,0.9956412021105758
2288363,392.3987008905935,132,40.0,BR,SillyFangirl,0.9955264969029594
12689667,398.1581433532389,161,41.0,ID,[Albert],0.995411791695343
24776314,380.6906324384923,109,42.0,PH,Plana_,0.9952970864877265
26690747,351.85484078421075,20,43.0,US,aero-,0.9951823812801102
14066511,355.2996796604263,32,44.0,CN,nyasunfanboy,0.9950676760724937
12599154,364.89712112280137,63,45.0,NL,Toxic Scent,0.9949529708648772
18111392,376.4258478962848,105,46.0,HK,minatoaquafan69,0.9948382656572609
27552902,348.56954794023994,22,47.0,CN,[GB]ParasolTree,0.9947235604496444
19141228,370.0239261092595,91,48.0,PL,malza,0.994608855242028
28251667,341.2507323119734,6,49.0,CN,[Crz]bubu,0.9944941500344116
28014801,345.42141366815525,19,50.0,KR,Pyn,0.9943794448267952
31138498,361.6426216492792,70,51.0,VN,debuti,0.9942647396191787
29379793,372.5481230822395,104,52.0,PL,klobuck,0.9941500344115622
33469995,350.5645637176544,43,53.0,KR,Correspondence,0.9940353292039459
15548876,376.27706243864657,123,54.0,PH,Silicosis,0.9939206239963294
16734203,361.4301011249726,80,55.0,TH,instal,0.993805918788713
11304785,381.0234966568229,143,56.0,AU,jordan180105,0.9936912135810966
11734610,350.6989427313721,54,57.0,US,Nepijin,0.9935765083734801
18271627,373.6726943795655,127,58.0,CZ,grillroasted,0.9934618031658637
25445118,378.9502026044247,144,59.0,BR,zKuri,0.9933470979582473
27257033,337.12866604749684,16,60.0,EG,[EG] nw9,0.9932323927506309
17753122,332.80733291494937,5,61.0,US,invadey,0.9931176875430144
32397022,363.2452935008098,102,62.0,CN,Shiroko_Beiyi,0.9930029823353981
10790649,397.010192513486,214,63.0,KR,Kalkai,0.9928882771277816
28098890,363.2542049758299,111,64.0,TH,parponger,0.9927735719201651
15806513,356.9363741066496,94,65.0,DE,jkzu123,0.9926588667125488
18342820,332.485623488309,25,66.0,PE,Ancuw,0.9925441615049323
18563362,340.6060395390901,51,67.0,UA,Concepte,0.9924294562973159
36068985,350.8232171463698,88,68.0,US,suwuka,0.9923147510896995
18766595,352.3396682409205,97,69.0,US,Kyuui,0.992200045882083
13047982,333.2668973921554,45,70.0,QA,Chara Undertale,0.9920853406744666
20435157,386.8094052028889,213,71.0,CA,theman234 tonk,0.9919706354668502
36289388,349.6478162986286,100,72.0,JP,[LS]N1ku2um3,0.9918559302592338
17089357,357.78731416255323,126,73.0,FR,[RUE]Jeunios,0.9917412250516173
33473292,375.96745475087545,183,74.0,US,WaterQuality,0.991626519844001
15926730,342.9391548794872,81,75.0,US,PeachMarrow,0.9915118146363845
31743951,325.4284658240461,28,76.0,KR,Jacky_Lover,0.991397109428768
18267981,347.4367251997592,99,77.0,KZ,revokeww,0.9912824042211517
18278945,353.4383324812746,119,78.0,KR,PocaFangirl,0.9911676990135352
30870258,376.079073349792,193,79.0,CR,Anthony2308,0.9910529938059188
18356454,369.500202439993,177,80.0,US,Minwoo3098,0.9909382885983024
20496815,384.5321854625513,224,81.0,PH,4Kenn,0.990823583390686
12562107,377.8610208706321,205,82.0,VN,CPT_Sivelia,0.9907088781830695
26844936,342.2398928362584,96,83.0,MY,SomeDumbEtDude,0.990594172975453
16277321,319.66955599255726,29,84.0,CN,nyasun,0.9904794677678367
13125084,331.3613359421985,69,85.0,US,qancke,0.9903647625602202
17494164,311.0127366311966,8,86.0,KR,ggeexx1,0.9902500573526039
24144271,309.00869949543704,2,87.0,GB,eiEn_,0.9901353521449874
14039549,316.3899102517823,27,88.0,RO,Bei,0.9900206469373709
18667176,367.723748873983,187,89.0,US,_eternal,0.9899059417297545
12572401,322.5407518891806,48,90.0,MY,kzorii,0.9897912365221381
15391485,341.2105529534683,106,91.0,TR,hsod,0.9896765313145217
12584420,354.47475983377285,152,92.0,PH,Vulpsi,0.9895618261069052
20360332,348.1087608430977,140,93.0,CL,bambi fnf,0.9894471208992889
26140861,336.0209935747726,114,94.0,KR,Scitra,0.9893324156916724
15267478,310.9835667687862,37,95.0,CL,maykolmejor,0.9892177104840559
13465246,380.2966265230087,252,96.0,US,TheSnowie,0.9891030052764396
18521083,380.5422305295647,253,97.0,CN,[Crz]Neri,0.9889883000688231
18043326,316.25436492718177,55,98.0,NZ,Joki_,0.9888735948612067
16407268,391.2200774851528,291,99.0,US,_dev_,0.9887588896535903
18566390,345.7581245199046,151,100.0,AR,Nubbo123,0.9886441844459738
19686164,313.940495184502,53,101.0,MX,Seroni,0.9885294792383574
25311011,357.477031378424,191,102.0,KR,Stereotype,0.988414774030741
23501956,316.6693748008008,65,103.0,US,f4fgoodgirlasmr,0.9883000688231246
31706494,303.02436373980294,23,104.0,IE,C0mp1ex_,0.9881853636155081
10329095,398.75450725746737,322,105.0,KR,VanillaLatte,0.9880706584078918
11898245,364.4156357003256,216,106.0,RU,Newbie Noobko,0.9879559532002753
18508394,343.5648989596862,153,107.0,US,Tevelkin,0.9878412479926588
