Player ID,Player Name,pScore,Maps Played
16505281,Buschan,1.0815423385954335,5/5
1020304,NKZoyDkKalBoJun,1.061490708111557,6/6
6912079,Iseri,1.0204617964224674,6/6
17336213,Vanstav,1.0142352438005182,6/6
26140861,Scitra,1.000626918435402,8/8
17494164,ggeexx1,0.9813093064781605,8/8
18278945,PocaFangirl,0.9763990203978529,7/7
13975661,lianic,0.9752993084288656,7/7
25311011,Stereotype,0.9673465895766262,8/8
6699923,Sunyata,0.9672975837553303,8/8
2071008,yz1155,0.9618968007348934,8/8
10329095,VanillaLatte,0.9527927095292618,6/6
11823301,Girls frontline,0.9058430542011063,7/7
10910337,Stellium,0.8721708761522223,8/8
21742758,Daljigi,0.8689693076991227,5/5
15269895,FREEDOM__,0.8638075524580743,7/7
